timestamp,open,high,low,close,volume,RSI,RSI_signal,EMA9,EMA21,EMA_signal,CROSS_UP,CROSS_DOWN,ENTRY_LONG,ENTRY_SHORT,TRADE_SIGNAL,BB_upper,BB_lower,BB_signal,CONSENSUS
2025-08-04 03:45:00+00:00,1395.1,1404.7,1391.7,1404.5,374065,,HOLD,1404.5,1404.5,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 03:50:00+00:00,1404.9,1406.2,1402.5,1404.9,153746,,HOLD,1404.5800000000002,1404.5363636363636,BUY,True,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 03:55:00+00:00,1404.2,1407.6,1402.2,1404.0,91188,85.24590163934585,SELL,1404.4640000000002,1404.4876033057851,SELL,False,True,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:00:00+00:00,1404.0,1404.9,1401.6,1402.2,54290,64.68899521531586,HOLD,1404.0112000000001,1404.2796393688955,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 04:05:00+00:00,1402.2,1404.4,1401.0,1404.2,55137,72.59640102828047,SELL,1404.04896,1404.2723994262687,SELL,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:10:00+00:00,1404.2,1405.3,1400.2,1400.4,77568,49.784683443984,HOLD,1403.319168,1403.9203631147898,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 04:15:00+00:00,1400.4,1402.0,1397.0,1402.0,102623,56.047220503774966,HOLD,1403.0553344000002,1403.745784649809,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 04:20:00+00:00,1402.0,1405.1,1401.8,1403.8,68195,61.81656307215314,HOLD,1403.2042675200003,1403.750713318008,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 04:25:00+00:00,1403.4,1405.2,1403.3,1404.5,61859,63.806245816226706,HOLD,1403.4634140160003,1403.818830289098,SELL,False,False,False,False,HOLD,,,HOLD,HOLD
2025-08-04 04:30:00+00:00,1404.5,1407.2,1404.0,1406.9,75121,69.64631649237795,HOLD,1404.1507312128003,1404.0989366264528,BUY,True,False,True,False,LONG,,,HOLD,HOLD
2025-08-04 04:35:00+00:00,1406.7,1409.0,1406.2,1408.4,84746,72.61992508638065,SELL,1405.0005849702404,1404.4899423876843,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:40:00+00:00,1409.0,1409.5,1406.9,1408.8,73423,73.36914771038116,SELL,1405.7604679761923,1404.8817658069856,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:45:00+00:00,1408.6,1410.0,1408.0,1408.2,94578,70.26329603096696,SELL,1406.248374380954,1405.183423460896,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:50:00+00:00,1408.2,1411.9,1408.2,1410.2,90872,74.18600342973342,SELL,1407.0386995047631,1405.6394758735419,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 04:55:00+00:00,1410.6,1411.6,1408.6,1410.1,78840,73.66276959894945,SELL,1407.6509596038106,1406.0449780668562,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 05:00:00+00:00,1410.1,1413.0,1409.9,1412.9,90655,78.28170846746754,SELL,1408.7007676830485,1406.66816187896,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 05:05:00+00:00,1412.7,1412.7,1411.0,1412.5,77941,76.22507630803901,SELL,1409.460614146439,1407.198328980873,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 05:10:00+00:00,1412.5,1414.0,1411.8,1412.5,100105,76.22507630803901,SELL,1410.0684913171513,1407.680299073521,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 05:15:00+00:00,1412.5,1414.2,1410.9,1412.1,93423,73.97120866447723,SELL,1410.4747930537212,1408.0820900668373,BUY,False,False,False,False,HOLD,,,HOLD,SELL
2025-08-04 05:20:00+00:00,1412.1,1412.7,1410.9,1412.2,56700,74.17678144216632,SELL,1410.819834442977,1408.4564455153068,BUY,False,False,False,False,HOLD,1415.3311149586596,1399.1988850413402,HOLD,SELL
2025-08-04 05:25:00+00:00,1412.3,1412.5,1410.5,1411.4,50588,69.45109023169891,HOLD,1410.9358675543817,1408.7240413775514,BUY,False,False,False,False,HOLD,1415.767889303903,1399.4521106960972,HOLD,HOLD
2025-08-04 05:30:00+00:00,1411.2,1413.9,1411.0,1413.3,65050,73.73146254075935,SELL,1411.4086940435054,1409.1400376159559,BUY,False,False,False,False,HOLD,1416.4607956794996,1399.5992043205003,HOLD,SELL
2025-08-04 05:35:00+00:00,1413.4,1414.0,1412.0,1413.3,52264,73.73146254075934,SELL,1411.7869552348045,1409.5182160145052,BUY,False,False,False,False,HOLD,1417.0153101006078,1399.974689899392,HOLD,SELL
2025-08-04 05:40:00+00:00,1413.3,1413.5,1412.5,1413.3,48697,73.73146254075934,SELL,1412.0895641878437,1409.862014558641,BUY,False,False,False,False,HOLD,1417.2850981843121,1400.8149018156878,HOLD,SELL
2025-08-04 05:45:00+00:00,1413.2,1414.7,1411.8,1412.4,60161,68.08735533541545,HOLD,1412.151651350275,1410.0927405078555,BUY,False,False,False,False,HOLD,1417.4924080416376,1401.4275919583624,HOLD,HOLD
2025-08-04 05:50:00+00:00,1412.6,1413.8,1412.0,1412.6,42551,68.66146293295526,HOLD,1412.24132108022,1410.3206731889595,BUY,False,False,False,False,HOLD,1416.9799775306208,1403.1600224693796,HOLD,HOLD
2025-08-04 05:55:00+00:00,1412.8,1413.5,1412.0,1412.5,41878,68.00272675950728,HOLD,1412.293056864176,1410.5187938081451,BUY,False,False,False,False,HOLD,1416.4362237362425,1404.7537762637576,HOLD,HOLD
2025-08-04 06:00:00+00:00,1412.4,1413.4,1412.1,1412.8,42993,68.96469431702431,HOLD,1412.3944454913408,1410.7261761892228,BUY,False,False,False,False,HOLD,1416.0018559644834,1406.0881440355167,HOLD,HOLD
2025-08-04 06:05:00+00:00,1413.0,1414.2,1409.6,1411.5,106697,60.47948909781262,HOLD,1412.2155563930726,1410.7965238083843,BUY,False,False,False,False,HOLD,1415.278284014445,1407.511715985555,HOLD,HOLD
2025-08-04 06:10:00+00:00,1411.5,1412.5,1411.0,1412.3,38698,63.45901460471081,HOLD,1412.2324451144582,1410.9332034621675,BUY,False,False,False,False,HOLD,1414.934814094185,1408.395185905815,HOLD,HOLD
2025-08-04 06:15:00+00:00,1412.3,1412.3,1411.4,1411.9,34210,60.98335703721807,HOLD,1412.1659560915666,1411.0210940565157,BUY,False,False,False,False,HOLD,1414.726192173637,1408.9538078263633,HOLD,HOLD
2025-08-04 06:20:00+00:00,1412.0,1412.4,1411.0,1412.3,34979,62.55646585556407,HOLD,1412.1927648732533,1411.1373582331962,BUY,False,False,False,False,HOLD,1414.5250010484385,1409.5049989515612,HOLD,HOLD
2025-08-04 06:25:00+00:00,1412.3,1413.0,1412.2,1412.9,38683,64.84606153422146,HOLD,1412.334211898603,1411.2975983938147,BUY,False,False,False,False,HOLD,1414.0300059136525,1410.4699940863475,HOLD,HOLD
2025-08-04 06:30:00+00:00,1412.9,1413.0,1411.3,1412.5,34731,62.118970489631984,HOLD,1412.3673695188825,1411.4069076307408,BUY,False,False,False,False,HOLD,1413.8620497302174,1410.8679502697826,HOLD,HOLD
2025-08-04 06:35:00+00:00,1412.5,1413.1,1412.2,1412.7,36754,62.95778827573262,HOLD,1412.433895615106,1411.5244614824917,BUY,False,False,False,False,HOLD,1413.5502625016438,1411.439737498356,HOLD,HOLD
2025-08-04 06:40:00+00:00,1412.8,1414.3,1412.3,1414.2,53739,68.577703080422,HOLD,1412.7871164920848,1411.7676922568105,BUY,False,False,False,False,HOLD,1413.8535467358786,1411.2664532641213,SELL,HOLD
2025-08-04 06:45:00+00:00,1414.2,1415.0,1413.3,1414.8,85721,70.50532189948619,SELL,1413.1896931936678,1412.0433565971002,BUY,False,False,False,False,HOLD,1414.3099794783864,1411.0400205216135,SELL,SELL
2025-08-04 06:50:00+00:00,1414.6,1415.0,1413.0,1413.2,75423,59.94474254172679,HOLD,1413.1917545549345,1412.1485059973638,BUY,False,False,False,False,HOLD,1414.3591145949802,1411.06088540502,HOLD,HOLD
2025-08-04 06:55:00+00:00,1413.2,1415.0,1412.8,1414.3,54893,63.943348616621776,HOLD,1413.4134036439477,1412.3440963612397,BUY,False,False,False,False,HOLD,1414.587067150902,1411.052932849098,HOLD,HOLD
2025-08-04 07:00:00+00:00,1414.6,1416.0,1413.6,1415.4,96356,67.44338836292448,HOLD,1413.8107229151583,1412.6219057829453,BUY,False,False,False,False,HOLD,1415.0621041988202,1410.8978958011799,SELL,HOLD
2025-08-04 07:05:00+00:00,1415.3,1416.1,1415.0,1415.6,97563,68.0506441821387,HOLD,1414.1685783321268,1412.8926416208594,BUY,False,False,False,False,HOLD,1415.4414556694699,1410.9385443305302,SELL,HOLD
2025-08-04 07:10:00+00:00,1415.9,1416.0,1414.3,1414.8,106190,62.989536542410214,HOLD,1414.2948626657014,1413.066037837145,BUY,False,False,False,False,HOLD,1415.6290064119619,1410.9009935880379,HOLD,HOLD
2025-08-04 07:15:00+00:00,1414.8,1415.7,1413.1,1413.8,55007,57.25712253696273,HOLD,1414.195890132561,1413.1327616701317,BUY,False,False,False,False,HOLD,1415.6661091592878,1410.9138908407126,HOLD,HOLD
2025-08-04 07:20:00+00:00,1413.8,1414.8,1412.6,1412.8,64872,52.14644451062106,HOLD,1413.9167121060489,1413.1025106092106,BUY,False,False,False,False,HOLD,1415.6511662711748,1410.878833728825,HOLD,HOLD
2025-08-04 07:25:00+00:00,1412.9,1413.7,1412.1,1413.1,65393,53.48773375177124,HOLD,1413.753369684839,1413.1022823720098,BUY,False,False,False,False,HOLD,1415.6530495331106,1410.9469504668893,HOLD,HOLD
2025-08-04 07:30:00+00:00,1413.1,1414.8,1413.0,1413.4,61899,54.850574596042435,HOLD,1413.6826957478713,1413.1293476109179,BUY,False,False,False,False,HOLD,1415.6700327533295,1411.0099672466708,HOLD,HOLD
2025-08-04 07:35:00+00:00,1413.4,1414.4,1412.9,1413.7,46520,56.23166574577491,HOLD,1413.6861565982972,1413.1812251008344,BUY,False,False,False,False,HOLD,1415.7005720112522,1411.099427988748,HOLD,HOLD
2025-08-04 07:40:00+00:00,1413.6,1414.0,1412.1,1412.9,56040,51.69081804949304,HOLD,1413.5289252786379,1413.1556591825768,BUY,False,False,False,False,HOLD,1415.7005104924747,1411.1094895075253,HOLD,HOLD
2025-08-04 07:45:00+00:00,1412.8,1413.4,1411.7,1412.2,43548,48.03561053285872,HOLD,1413.2631402229104,1413.0687810750696,BUY,False,False,False,False,HOLD,1415.6322351007252,1411.247764899275,HOLD,HOLD
2025-08-04 07:50:00+00:00,1412.2,1413.2,1411.8,1412.5,44466,49.67795705427458,HOLD,1413.1105121783282,1413.0170737046087,BUY,False,False,False,False,HOLD,1415.6220715312465,1411.2779284687535,HOLD,HOLD
2025-08-04 07:55:00+00:00,1412.5,1413.0,1409.4,1412.0,105698,47.01114024492026,HOLD,1412.8884097426628,1412.9246124587353,SELL,False,True,False,True,SHORT,1415.6124595196566,1411.2975404803433,HOLD,HOLD
2025-08-04 08:00:00+00:00,1412.0,1413.4,1411.7,1413.1,46682,52.99010632151456,HOLD,1412.9307277941302,1412.9405567806684,SELL,False,False,False,False,HOLD,1415.5910865791702,1411.3989134208296,HOLD,HOLD
2025-08-04 08:05:00+00:00,1413.4,1413.7,1412.1,1412.8,52922,51.290335734440724,HOLD,1412.9045822353041,1412.9277788915167,SELL,False,False,False,False,HOLD,1415.592529804535,1411.3874701954655,HOLD,HOLD
2025-08-04 08:10:00+00:00,1412.7,1413.3,1412.1,1413.2,46368,53.435090786742215,HOLD,1412.9636657882434,1412.9525262650152,BUY,True,False,True,False,LONG,1415.5809285263047,1411.4690714736955,HOLD,HOLD
2025-08-04 08:15:00+00:00,1413.3,1415.5,1413.2,1414.9,86954,61.24526839819961,HOLD,1413.3509326305948,1413.129569331832,BUY,False,False,False,False,HOLD,1415.7399065487468,1411.5300934512532,HOLD,HOLD
2025-08-04 08:20:00+00:00,1415.0,1415.5,1414.2,1415.4,41642,63.200293213786544,HOLD,1413.7607461044759,1413.3359721198474,BUY,False,False,False,False,HOLD,1415.9319857539037,1411.4580142460966,HOLD,HOLD
2025-08-04 08:25:00+00:00,1415.3,1415.6,1414.5,1415.1,45721,61.205250695656325,HOLD,1414.0285968835808,1413.4963382907704,BUY,False,False,False,False,HOLD,1415.9819340242482,1411.438065975752,HOLD,HOLD
2025-08-04 08:30:00+00:00,1415.1,1415.9,1411.6,1413.8,107822,53.346622028646564,HOLD,1413.9828775068647,1413.5239439007003,BUY,False,False,False,False,HOLD,1415.9993897639126,1411.4806102360874,HOLD,HOLD
2025-08-04 08:35:00+00:00,1413.9,1415.2,1413.3,1414.9,59762,58.233386086317935,HOLD,1414.1663020054918,1413.6490399097274,BUY,False,False,False,False,HOLD,1416.0761473911014,1411.4638526088986,HOLD,HOLD
2025-08-04 08:40:00+00:00,1415.0,1415.2,1413.7,1414.8,57779,57.642271924263945,HOLD,1414.2930416043935,1413.7536726452067,BUY,False,False,False,False,HOLD,1415.971261149171,1411.508738850829,HOLD,HOLD
2025-08-04 08:45:00+00:00,1415.2,1415.5,1414.1,1414.9,53308,58.10030293964181,HOLD,1414.4144332835149,1413.8578842229153,BUY,False,False,False,False,HOLD,1415.8329839730327,1411.5770160269676,HOLD,HOLD
2025-08-04 08:50:00+00:00,1414.9,1415.0,1413.5,1414.4,81804,54.90349247568108,HOLD,1414.411546626812,1413.9071674753775,BUY,False,False,False,False,HOLD,1415.7768639384176,1411.5931360615823,HOLD,HOLD
